case	Cluster_Name	easy_id	count_bycluster	count_bycase	frac_cluster_count_bycase
C3L-00096	C3L-00096-T1_C1	C3L-00096-T1	3413	3627	0.940998070030328
C3L-00096	C3L-00096-T1_C2	C3L-00096-T1	89	3627	0.0245381858285084
C3L-00096	C3L-00096-T1_C3	C3L-00096-T1	95	3627	0.0261924455472843
C3L-00096	C3L-00096-T1_C4	C3L-00096-T1	9	3627	0.00248138957816377
C3L-00096	C3L-00096-T1_CNA	C3L-00096-T1	21	3627	0.00578990901571547
C3L-00359	C3L-00359-T1_C1	C3L-00359-T1	3601	4436	0.811767357980162
C3L-00359	C3L-00359-T1_C2	C3L-00359-T1	753	4436	0.169747520288548
C3L-00359	C3L-00359-T1_C3	C3L-00359-T1	17	4436	0.00383228133453562
C3L-00359	C3L-00359-T1_C4	C3L-00359-T1	20	4436	0.00450856627592426
C3L-00359	C3L-00359-T1_C5	C3L-00359-T1	35	4436	0.00788999098286745
C3L-00359	C3L-00359-T1_CNA	C3L-00359-T1	10	4436	0.00225428313796213
C3L-00416	C3L-00416-T1_C1	C3L-00416-T1	692	7096	0.0975197294250282
C3L-00416	C3L-00416-T1_C10	C3L-00416-T1	125	7096	0.0176155580608794
C3L-00416	C3L-00416-T1_C2	C3L-00416-T1	331	7096	0.0466459977452086
C3L-00416	C3L-00416-T1_C3	C3L-00416-T1	458	7096	0.064543404735062
C3L-00416	C3L-00416-T1_C4	C3L-00416-T1	337	7096	0.0474915445321308
C3L-00416	C3L-00416-T1_C5	C3L-00416-T1	246	7096	0.0346674182638106
C3L-00416	C3L-00416-T1_C6	C3L-00416-T1	86	7096	0.012119503945885
C3L-00416	C3L-00416-T1_C7	C3L-00416-T1	217	7096	0.0305806087936866
C3L-00416	C3L-00416-T1_C8	C3L-00416-T1	198	7096	0.0279030439684329
C3L-00416	C3L-00416-T1_C9	C3L-00416-T1	167	7096	0.0235343855693348
C3L-00416	C3L-00416-T2_C1	C3L-00416-T2	2571	7096	0.362316798196167
C3L-00416	C3L-00416-T2_C2	C3L-00416-T2	1371	7096	0.193207440811725
C3L-00416	C3L-00416-T2_C3	C3L-00416-T2	42	7096	0.00591882750845547
C3L-00416	C3L-00416-T2_C4	C3L-00416-T2	236	7096	0.0332581736189402
C3L-00416	C3L-00416-T2_C5	C3L-00416-T2	19	7096	0.00267756482525366
C3L-00448	C3L-00448-T1_C1	C3L-00448-T1	4196	4436	0.945897204688909
C3L-00448	C3L-00448-T1_C2	C3L-00448-T1	83	4436	0.0187105500450857
C3L-00448	C3L-00448-T1_C3	C3L-00448-T1	72	4436	0.0162308385933273
C3L-00448	C3L-00448-T1_C4	C3L-00448-T1	57	4436	0.0128494138863841
C3L-00448	C3L-00448-T1_C5	C3L-00448-T1	28	4436	0.00631199278629396
C3L-00583	C3L-00583-T1_C1	C3L-00583-T1	3298	3601	0.915856706470425
C3L-00583	C3L-00583-T1_C2	C3L-00583-T1	216	3601	0.0599833379616773
C3L-00583	C3L-00583-T1_C3	C3L-00583-T1	36	3601	0.00999722299361288
C3L-00583	C3L-00583-T1_C4	C3L-00583-T1	6	3601	0.00166620383226881
C3L-00583	C3L-00583-T1_C5	C3L-00583-T1	45	3601	0.0124965287420161
C3L-00610	C3L-00610-T1_C1	C3L-00610-T1	4238	4286	0.988800746616892
C3L-00610	C3L-00610-T1_C2	C3L-00610-T1	42	4286	0.00979934671021932
C3L-00610	C3L-00610-T1_C3	C3L-00610-T1	6	4286	0.00139990667288847
C3L-00790	C3L-00790-T1_C1	C3L-00790-T1	3850	3897	0.98793944059533
C3L-00790	C3L-00790-T1_C2	C3L-00790-T1	25	3897	0.00641519117269695
C3L-00790	C3L-00790-T1_C3	C3L-00790-T1	22	3897	0.00564536823197331
C3L-00813	C3L-00813-T1_C1	C3L-00813-T1	1878	3846	0.488299531981279
C3L-00813	C3L-00813-T1_C2	C3L-00813-T1	1165	3846	0.302912116484659
C3L-00813	C3L-00813-T1_C3	C3L-00813-T1	696	3846	0.180967238689548
C3L-00813	C3L-00813-T1_C4	C3L-00813-T1	22	3846	0.00572022880915237
C3L-00813	C3L-00813-T1_C5	C3L-00813-T1	9	3846	0.00234009360374415
C3L-00813	C3L-00813-T1_C6	C3L-00813-T1	76	3846	0.0197607904316173
C3L-00908	C3L-00908-T1_C1	C3L-00908-T1	1378	1729	0.796992481203007
C3L-00908	C3L-00908-T1_C2	C3L-00908-T1	303	1729	0.175245806824754
C3L-00908	C3L-00908-T1_C3	C3L-00908-T1	48	1729	0.0277617119722383
C3L-00917	C3L-00917-T1_C1	C3L-00917-T1	2209	2435	0.907186858316222
C3L-00917	C3L-00917-T1_C2	C3L-00917-T1	114	2435	0.0468172484599589
C3L-00917	C3L-00917-T1_C3	C3L-00917-T1	73	2435	0.0299794661190965
C3L-00917	C3L-00917-T1_C4	C3L-00917-T1	39	2435	0.0160164271047228
C3L-01287	C3L-01287-T1_C1	C3L-01287-T1	877	1072	0.818097014925373
C3L-01287	C3L-01287-T1_C2	C3L-01287-T1	154	1072	0.14365671641791
C3L-01287	C3L-01287-T1_C3	C3L-01287-T1	30	1072	0.0279850746268657
C3L-01287	C3L-01287-T1_C4	C3L-01287-T1	11	1072	0.0102611940298507
C3L-01302	C3L-01302-T1_C1	C3L-01302-T1	2043	2342	0.872331340734415
C3L-01302	C3L-01302-T1_C2	C3L-01302-T1	76	2342	0.0324508966695132
C3L-01302	C3L-01302-T1_C3	C3L-01302-T1	96	2342	0.0409906063193851
C3L-01302	C3L-01302-T1_C4	C3L-01302-T1	71	2342	0.0303159692570453
C3L-01302	C3L-01302-T1_C5	C3L-01302-T1	56	2342	0.0239111870196413
C3L-01313	C3L-01313-T1_C1	C3L-01313-T1	3640	4330	0.840646651270208
C3L-01313	C3L-01313-T1_C2	C3L-01313-T1	250	4330	0.0577367205542725
C3L-01313	C3L-01313-T1_C3	C3L-01313-T1	37	4330	0.00854503464203233
C3L-01313	C3L-01313-T1_C4	C3L-01313-T1	50	4330	0.0115473441108545
C3L-01313	C3L-01313-T1_C5	C3L-01313-T1	154	4330	0.0355658198614319
C3L-01313	C3L-01313-T1_C6	C3L-01313-T1	125	4330	0.0288683602771363
C3L-01313	C3L-01313-T1_C7	C3L-01313-T1	74	4330	0.0170900692840647
C3N-00177	C3N-00177-T1_C1	C3N-00177-T1	1883	1912	0.984832635983264
C3N-00177	C3N-00177-T1_C2	C3N-00177-T1	29	1912	0.0151673640167364
C3N-00242	C3N-00242-T1_C1	C3N-00242-T1	2490	2591	0.961018911617136
C3N-00242	C3N-00242-T1_C2	C3N-00242-T1	60	2591	0.0231570822076418
C3N-00242	C3N-00242-T1_C3	C3N-00242-T1	9	2591	0.00347356233114628
C3N-00242	C3N-00242-T1_C4	C3N-00242-T1	32	2591	0.0123504438440756
C3N-00317	C3N-00317-T1_C1	C3N-00317-T1	3445	4302	0.800790330079033
C3N-00317	C3N-00317-T1_C2	C3N-00317-T1	519	4302	0.120641562064156
C3N-00317	C3N-00317-T1_C3	C3N-00317-T1	156	4302	0.0362622036262204
C3N-00317	C3N-00317-T1_C4	C3N-00317-T1	99	4302	0.0230125523012552
C3N-00317	C3N-00317-T1_C5	C3N-00317-T1	58	4302	0.0134821013482101
C3N-00317	C3N-00317-T1_C6	C3N-00317-T1	25	4302	0.00581125058112506
C3N-00437	C3N-00437-T1_C1	C3N-00437-T1	1483	2053	0.722357525572333
C3N-00437	C3N-00437-T1_C2	C3N-00437-T1	289	2053	0.140769605455431
C3N-00437	C3N-00437-T1_C3	C3N-00437-T1	165	2053	0.0803701899659036
C3N-00437	C3N-00437-T1_C4	C3N-00437-T1	70	2053	0.0340964442279591
C3N-00437	C3N-00437-T1_C5	C3N-00437-T1	46	2053	0.0224062347783731
C3N-00495	C3N-00495-T1_C1	C3N-00495-T1	2543	2633	0.965818458032662
C3N-00495	C3N-00495-T1_C2	C3N-00495-T1	23	2633	0.00873528294720851
C3N-00495	C3N-00495-T1_C3	C3N-00495-T1	40	2633	0.0151917964299278
C3N-00495	C3N-00495-T1_C4	C3N-00495-T1	27	2633	0.0102544625902013
C3N-00733	C3N-00733-T1_C1	C3N-00733-T1	3690	7529	0.490104927613229
C3N-00733	C3N-00733-T1_C2	C3N-00733-T1	429	7529	0.0569796785761721
C3N-00733	C3N-00733-T1_C3	C3N-00733-T1	43	7529	0.0057112498339753
C3N-00733	C3N-00733-T1_C4	C3N-00733-T1	18	7529	0.00239075574445477
C3N-00733	C3N-00733-T1_C5	C3N-00733-T1	79	7529	0.0104927613228848
C3N-00733	C3N-00733-T2_C1	C3N-00733-T2	1889	7529	0.250896533404171
C3N-00733	C3N-00733-T2_C2	C3N-00733-T2	1214	7529	0.161243192987116
C3N-00733	C3N-00733-T2_C3	C3N-00733-T2	72	7529	0.0095630229778191
C3N-00733	C3N-00733-T2_C4	C3N-00733-T2	37	7529	0.00491433125249037
C3N-00733	C3N-00733-T2_C5	C3N-00733-T2	58	7529	0.00770354628768761
C3N-01200	C3N-01200-T1_C1	C3N-01200-T1	1944	3454	0.562825709322525
C3N-01200	C3N-01200-T1_C2	C3N-01200-T1	405	3454	0.117255356108859
C3N-01200	C3N-01200-T1_C3	C3N-01200-T1	222	3454	0.0642733063115229
C3N-01200	C3N-01200-T1_C4	C3N-01200-T1	64	3454	0.0185292414591778
C3N-01200	C3N-01200-T1_C5	C3N-01200-T1	8	3454	0.00231615518239722
C3N-01200	C3N-01200-T1_C6	C3N-01200-T1	46	3454	0.013317892298784
C3N-01200	C3N-01200-T1_C7	C3N-01200-T1	27	3454	0.00781702374059062
C3N-01200	C3N-01200-T2_C1	C3N-01200-T2	112	3454	0.0324261725535611
C3N-01200	C3N-01200-T2_C2	C3N-01200-T2	89	3454	0.0257672264041691
C3N-01200	C3N-01200-T2_C3	C3N-01200-T2	12	3454	0.00347423277359583
C3N-01200	C3N-01200-T3_C1	C3N-01200-T3	492	3454	0.142443543717429
C3N-01200	C3N-01200-T3_C2	C3N-01200-T3	20	3454	0.00579038795599305
C3N-01200	C3N-01200-T3_C3	C3N-01200-T3	13	3454	0.00376375217139548
C3N-01213	C3N-01213-T1_C1	C3N-01213-T1	2403	2619	0.917525773195876
C3N-01213	C3N-01213-T1_C2	C3N-01213-T1	75	2619	0.0286368843069874
C3N-01213	C3N-01213-T1_C3	C3N-01213-T1	110	2619	0.0420007636502482
C3N-01213	C3N-01213-T1_C4	C3N-01213-T1	21	2619	0.00801832760595647
C3N-01213	C3N-01213-T1_C5	C3N-01213-T1	10	2619	0.00381825124093165
