UMAP_1	UMAP_2	Text_Cluster
5.93680249538158	-3.81176469748383	T3_C1
3.2612057813618	-4.18487785284882	T3_C1
5.05919324245189	-4.02854273741608	T3_C1
5.35598050441478	-4.47332427924042	T3_C1
3.4038101324055	-3.33045266096955	T3_C1
2.44494115199779	-5.20905445044404	T3_C1
5.49187289561961	-3.62332628195649	T3_C1
4.20576630916331	-3.65921829169159	T3_C1
1.52841078128551	-0.400438974551015	T3_C1
6.37219249095653	-4.8715452951706	T3_C1
3.78778945293162	-2.31903384154206	T3_C1
3.94076024379466	-3.54726360266572	T3_C1
5.4565034994099	-4.78097675269013	T3_C1
3.86677848186229	-5.60123346274262	T3_C1
2.86941682185863	-4.05309603636628	T3_C1
4.60238705959056	-4.10403750365143	T3_C1
1.83932410564159	1.52744485909576	T3_C1
4.03971635188792	-4.85304592078095	T3_C1
5.59461652126048	-3.96234176581269	T3_C1
2.2901352533314	-5.39807269995575	T3_C1
3.37682925548289	-3.67203805868989	T3_C1
5.82104312267039	-4.36328766768341	T3_C1
4.0700379499409	-5.38547323172455	T3_C1
5.52299748744701	-4.67493126814728	T3_C1
3.6197115072224	-4.57993600790863	T3_C1
5.55766259517406	-4.71638582175141	T3_C1
5.30717431392406	-4.63797638838654	T3_C1
3.6483284124348	-3.17548726027375	T3_C1
4.53259097423289	-3.44947002356415	T3_C1
4.3156171926472	-4.2770366472519	T3_C1
5.72150479640697	-4.15289614622956	T3_C1
5.54408990230296	-3.68632958357697	T3_C1
5.25491439189647	-3.82380340521698	T3_C1
5.7310544141743	-4.5862657827652	T3_C1
2.41911088313792	-5.05825946753388	T3_C1
1.19720183696483	-0.826356449104004	T3_C1
-1.66758059326674	5.8898039060318	T3_C1
2.79762135829661	-5.7388434213913	T3_C1
5.72271214809154	-4.39097712462311	T3_C1
4.25626622523997	-4.07915566389924	T3_C1
1.21250783290599	-3.12889144842988	T3_C1
5.8438359388325	-3.94760344450837	T3_C1
2.35187922801707	-5.81994436209565	T3_C1
5.63982211436961	-4.81330726569062	T3_C1
2.25130926456187	-5.50022695486908	T3_C1
3.00381242122386	-5.77241657202607	T3_C1
3.9584861883137	-4.18003414099579	T3_C1
3.16746579494212	-4.066581706456	T3_C1
5.62686072673534	-4.89409110968476	T3_C1
5.52071725215648	-4.32135246222382	T3_C1
5.78186427440379	-4.420670012883	T3_C1
2.4938136228535	-5.2043499750412	T3_C1
5.93071948375438	-4.73526070540314	T3_C1
3.47825967159007	-2.97128627722626	T3_C1
3.20177708949779	-3.4547767442978	T3_C1
5.19329177226756	-4.7449571890152	T3_C1
4.36896239604686	-3.69038007681733	T3_C1
2.57935105647777	-5.81085536902314	T3_C1
5.46350442256663	-5.81724307959443	T3_C1
5.09810077037547	-4.29371760313874	T3_C1
2.05880080547069	-5.35489175742035	T3_C1
4.81161223735545	-6.45759962027436	T3_C1
4.99773417796825	-4.6831371588028	T3_C1
4.95273839320872	-4.96721980994111	T3_C1
3.22280656184886	-4.9883928102768	T3_C1
4.73581181850169	-4.84945819800263	T3_C1
6.27325211848949	-4.20385072653656	T3_C1
4.88379393901561	-3.98453162138825	T3_C1
4.30370436992381	-3.88576720183259	T3_C1
0.844310868642074	-3.36221096938019	T3_C1
2.46827422466014	-5.92315051977997	T3_C1
3.18688403453563	-3.8383934301651	T3_C1
2.86346207942699	-2.41613386099701	T3_C1
4.87991010036204	-4.96893403952485	T3_C1
3.75434218730662	-4.09221933310395	T3_C1
2.34183322276805	-5.54934404318695	T3_C1
6.01836358394359	-4.31549499457245	T3_C1
3.92620622005199	-4.74304030363923	T3_C1
4.52284108485911	-3.72958705847626	T3_C1
3.81301652278636	-3.62766240065461	T3_C1
3.4641939290974	-3.46718643134003	T3_C1
5.8687816747639	-4.6589455408371	T3_C1
3.18147050227855	-3.17551253264313	T3_C1
5.59004365291331	-4.06445072119599	T3_C1
5.31583701457713	-4.13735101645356	T3_C1
4.06266080226634	-5.49831483786469	T3_C1
2.39139806117747	-5.21504400198822	T3_C1
2.07362948741649	-5.37244890158539	T3_C1
6.11507903423045	-4.53544733946686	T3_C1
3.74561511363719	-5.24793956702118	T3_C1
6.07632409419749	-3.72722337668305	T3_C1
5.56242143001292	-3.61974904959565	T3_C1
5.69611131038402	-4.58277605002289	T3_C1
5.98505317058299	-4.02402208273774	T3_C1
4.12553511943553	-4.71602533285981	T3_C1
5.73511754359935	-5.19820306723481	T3_C1
4.55596743907664	-3.96032951300507	T3_C1
3.92700063075755	-4.07972453062897	T3_C1
2.98298465099071	-5.82303474371796	T3_C1
4.916871655843	-5.29874275153046	T3_C1
3.73165475215648	-3.88198278372651	T3_C1
3.43258010234569	-3.68142507498627	T3_C1
6.27994166698192	-4.30890343611603	T3_C1
2.28143965091441	-1.55277268116837	T3_C1
1.0554283746693	-3.11287305777436	T3_C1
2.94267236079906	-3.97635219519501	T3_C1
2.38662396754954	-5.01365039770966	T3_C1
4.14270888652537	-3.06523607199555	T3_C1
3.50227032985423	-5.45483396475678	T3_C1
5.55776511516307	-4.47088644926911	T3_C1
2.96892320003245	-4.9562654299057	T3_C1
5.56099616374705	-4.83913228934174	T3_C1
5.70022593822215	-3.75501010840302	T3_C1
3.70341025676463	-3.91870997374421	T3_C1
5.6044846662495	-4.29982541029816	T3_C1
-1.18197117362286	0.10964437300796	T3_C1
5.20780955638621	-5.91216133063202	T3_C1
2.13922654475902	-2.99681303923493	T3_C1
5.2830678113911	-3.81951282446747	T3_C1
3.75086699809764	-4.49684808676606	T3_C1
2.6091529020283	-5.47370193426972	T3_C1
5.48199664439891	-3.83155081694489	T3_C1
5.17420445766185	-3.5992269319809	T3_C1
3.49304019298289	-5.07537839835053	T3_C1
3.21705018367503	-3.56608460371857	T3_C1
3.24050389613841	-3.02036211912995	T3_C1
3.78646193828319	-2.22866771643525	T3_C1
-0.204049955942887	-0.594714368633084	T3_C1
3.88430606212352	-3.63279269163971	T3_C1
5.09045993175243	-4.01391599600678	T3_C1
4.52372180309032	-3.21010563795929	T3_C1
2.84341250743602	-5.47222993796235	T3_C1
5.75732718791698	-4.54908988898163	T3_C1
1.67381607379649	-3.14507911627656	T3_C1
4.47064458217357	-4.56655643408661	T3_C1
2.07921420421336	-5.24956748907929	T3_C1
4.05288611736034	-5.39511726324921	T3_C1
4.73103629436229	-5.70874498312836	T3_C1
3.22026358928416	-2.90727637236481	T3_C1
6.35127507533763	-4.27657220785981	T3_C1
5.34438668575023	-3.75517294829255	T3_C1
