UMAP_1	UMAP_2	cnv_cat_simple	Text_TumorCluster
-0.301642590256819	2.03053171556077	gain	C1
-3.83369629928697	1.29168708245835	gain	C1
-1.68696027347673	-1.64203016836562	gain	C1
5.27341801574599	-2.20498782400408	gain	C2
-1.90760769793619	2.88629658143601	gain	C1
-1.90948560187448	2.83780605714402	gain	C1
1.09574133804213	-4.26149790365615	gain	C3
1.24808866432082	-4.80767052252212	gain	C3
-3.55325739929307	0.569598030258033	gain	C1
0.60233599594008	2.3888304940947	gain	C1
-3.9048971469127	-1.75330452997604	gain	C1
-1.20903300592531	-2.41425291080394	gain	C1
0.211121625212541	3.50938494126878	gain	C1
-3.74627440521348	1.14465839784226	gain	C1
2.03799111297499	2.50723965089402	gain	C1
-2.89432471344102	0.185943674255225	gain	C1
0.900509661940446	1.65953071038804	gain	C1
0.393609351424089	1.42424566667161	gain	C1
