V1	variable	value	id_sample_cell_group	aliquot	cell_group.columnname	x_plot	cell_group	id_sample
CA9	SCT.CPT0014470002_B.cells	0	CPT0014470002_B.cells	CPT0014470002	B.cells	0	B-cells	C3N-00242-N
PCSK6	SCT.CPT0014470002_B.cells	0.00307692307692308	CPT0014470002_B.cells	CPT0014470002	B.cells	0.00307692307692308	B-cells	C3N-00242-N
CP	SCT.CPT0014470002_Endothelial.cells	0.0719424460431655	CPT0014470002_Endothelial.cells	CPT0014470002	Endothelial.cells	0.0719424460431655	Endothelial cells	C3N-00242-N
CA9	SCT.CPT0014470002_Endothelial.cells	0	CPT0014470002_Endothelial.cells	CPT0014470002	Endothelial.cells	0	Endothelial cells	C3N-00242-N
PCSK6	SCT.CPT0014470002_Endothelial.cells	0.402877697841727	CPT0014470002_Endothelial.cells	CPT0014470002	Endothelial.cells	0.402877697841727	Endothelial cells	C3N-00242-N
CP	SCT.CPT0014470002_DC	0.0723684210526316	CPT0014470002_DC	CPT0014470002	DC	0.0723684210526316	DC	C3N-00242-N
CA9	SCT.CPT0014470002_DC	0	CPT0014470002_DC	CPT0014470002	DC	0	DC	C3N-00242-N
PCSK6	SCT.CPT0014470002_DC	0	CPT0014470002_DC	CPT0014470002	DC	0	DC	C3N-00242-N
CP	SCT.CPT0014470002_CD8..T.cells	0.041025641025641	CPT0014470002_CD8..T.cells	CPT0014470002	CD8..T.cells	0.041025641025641	CD8+ T-cells	C3N-00242-N
CA9	SCT.CPT0014470002_CD8..T.cells	0	CPT0014470002_CD8..T.cells	CPT0014470002	CD8..T.cells	0	CD8+ T-cells	C3N-00242-N
PCSK6	SCT.CPT0014470002_CD8..T.cells	0.0102564102564103	CPT0014470002_CD8..T.cells	CPT0014470002	CD8..T.cells	0.0102564102564103	CD8+ T-cells	C3N-00242-N
CP	SCT.CPT0014470002_Principle.cells	0.0388059701492537	CPT0014470002_Principle.cells	CPT0014470002	Principle.cells	0.0388059701492537	Principle cells	C3N-00242-N
CA9	SCT.CPT0014470002_Principle.cells	0	CPT0014470002_Principle.cells	CPT0014470002	Principle.cells	0	Principle cells	C3N-00242-N
PCSK6	SCT.CPT0014470002_Principle.cells	0.0238805970149254	CPT0014470002_Principle.cells	CPT0014470002	Principle.cells	0.0238805970149254	Principle cells	C3N-00242-N
CP	SCT.CPT0014470002_Podocytes	0.0405405405405405	CPT0014470002_Podocytes	CPT0014470002	Podocytes	0.0405405405405405	Podocytes	C3N-00242-N
CA9	SCT.CPT0014470002_Podocytes	0	CPT0014470002_Podocytes	CPT0014470002	Podocytes	0	Podocytes	C3N-00242-N
PCSK6	SCT.CPT0014470002_Podocytes	0	CPT0014470002_Podocytes	CPT0014470002	Podocytes	0	Podocytes	C3N-00242-N
CP	SCT.CPT0014470002_NK.cells	0.106382978723404	CPT0014470002_NK.cells	CPT0014470002	NK.cells	0.106382978723404	NK cells	C3N-00242-N
CA9	SCT.CPT0014470002_NK.cells	0	CPT0014470002_NK.cells	CPT0014470002	NK.cells	0	NK cells	C3N-00242-N
PCSK6	SCT.CPT0014470002_NK.cells	0	CPT0014470002_NK.cells	CPT0014470002	NK.cells	0	NK cells	C3N-00242-N
CP	SCT.CPT0012550012_CD4..T.cells	0.626984126984126	CPT0012550012_CD4..T.cells	CPT0012550012	CD4..T.cells	0.626984126984126	CD4+ T-cells	C3N-00437-T1
CA9	SCT.CPT0012550012_CD4..T.cells	0.00529100529100529	CPT0012550012_CD4..T.cells	CPT0012550012	CD4..T.cells	0.00529100529100529	CD4+ T-cells	C3N-00437-T1
PCSK6	SCT.CPT0012550012_CD4..T.cells	0.0767195767195767	CPT0012550012_CD4..T.cells	CPT0012550012	CD4..T.cells	0.0767195767195767	CD4+ T-cells	C3N-00437-T1
CP	SCT.CPT0012550012_Macrophages	0.61594911937377	CPT0012550012_Macrophages	CPT0012550012	Macrophages	0.61594911937377	Macrophages	C3N-00437-T1
CA9	SCT.CPT0012550012_Macrophages	0.00880626223091976	CPT0012550012_Macrophages	CPT0012550012	Macrophages	0.00880626223091976	Macrophages	C3N-00437-T1
PCSK6	SCT.CPT0012550012_Macrophages	0.0934442270058708	CPT0012550012_Macrophages	CPT0012550012	Macrophages	0.0934442270058708	Macrophages	C3N-00437-T1
CP	SCT.CPT0012550012_Tumor.cells	11.4773502191914	CPT0012550012_Tumor.cells	CPT0012550012	Tumor.cells	10	Tumor cells	C3N-00437-T1
CA9	SCT.CPT0012550012_Tumor.cells	0.169020944958596	CPT0012550012_Tumor.cells	CPT0012550012	Tumor.cells	0.169020944958596	Tumor cells	C3N-00437-T1
PCSK6	SCT.CPT0012550012_Tumor.cells	5.20457866536776	CPT0012550012_Tumor.cells	CPT0012550012	Tumor.cells	5.20457866536776	Tumor cells	C3N-00437-T1
CP	SCT.CPT0012550012_CD8..T.cells	0.716791979949874	CPT0012550012_CD8..T.cells	CPT0012550012	CD8..T.cells	0.716791979949874	CD8+ T-cells	C3N-00437-T1
CA9	SCT.CPT0012550012_CD8..T.cells	0.0150375939849624	CPT0012550012_CD8..T.cells	CPT0012550012	CD8..T.cells	0.0150375939849624	CD8+ T-cells	C3N-00437-T1
PCSK6	SCT.CPT0012550012_CD8..T.cells	0.100250626566416	CPT0012550012_CD8..T.cells	CPT0012550012	CD8..T.cells	0.100250626566416	CD8+ T-cells	C3N-00437-T1
CP	SCT.CPT0012550012_Loop.of.Henle	0.395061728395062	CPT0012550012_Loop.of.Henle	CPT0012550012	Loop.of.Henle	0.395061728395062	Loop of Henle	C3N-00437-T1
CA9	SCT.CPT0012550012_Loop.of.Henle	0	CPT0012550012_Loop.of.Henle	CPT0012550012	Loop.of.Henle	0	Loop of Henle	C3N-00437-T1
PCSK6	SCT.CPT0012550012_Loop.of.Henle	0.0617283950617284	CPT0012550012_Loop.of.Henle	CPT0012550012	Loop.of.Henle	0.0617283950617284	Loop of Henle	C3N-00437-T1
CP	SCT.CPT0012550012_Endothelial.cells	0.537444933920705	CPT0012550012_Endothelial.cells	CPT0012550012	Endothelial.cells	0.537444933920705	Endothelial cells	C3N-00437-T1
CA9	SCT.CPT0012550012_Endothelial.cells	0.0220264317180617	CPT0012550012_Endothelial.cells	CPT0012550012	Endothelial.cells	0.0220264317180617	Endothelial cells	C3N-00437-T1
PCSK6	SCT.CPT0012550012_Endothelial.cells	0.444933920704846	CPT0012550012_Endothelial.cells	CPT0012550012	Endothelial.cells	0.444933920704846	Endothelial cells	C3N-00437-T1
CP	SCT.CPT0012550012_Myofibroblasts	0.518518518518519	CPT0012550012_Myofibroblasts	CPT0012550012	Myofibroblasts	0.518518518518519	Myofibroblasts	C3N-00437-T1
CA9	SCT.CPT0012550012_Myofibroblasts	0.037037037037037	CPT0012550012_Myofibroblasts	CPT0012550012	Myofibroblasts	0.037037037037037	Myofibroblasts	C3N-00437-T1
PCSK6	SCT.CPT0012550012_Myofibroblasts	0.222222222222222	CPT0012550012_Myofibroblasts	CPT0012550012	Myofibroblasts	0.222222222222222	Myofibroblasts	C3N-00437-T1
CP	SCT.CPT0012550012_Intercalated.cells	0.5	CPT0012550012_Intercalated.cells	CPT0012550012	Intercalated.cells	0.5	Intercalated cells	C3N-00437-T1
CA9	SCT.CPT0012550012_Intercalated.cells	0.0526315789473684	CPT0012550012_Intercalated.cells	CPT0012550012	Intercalated.cells	0.0526315789473684	Intercalated cells	C3N-00437-T1
PCSK6	SCT.CPT0012550012_Intercalated.cells	0.131578947368421	CPT0012550012_Intercalated.cells	CPT0012550012	Intercalated.cells	0.131578947368421	Intercalated cells	C3N-00437-T1
CP	SCT.CPT0012280004_Tumor.cells	2.1345885634588	CPT0012280004_Tumor.cells	CPT0012280004	Tumor.cells	2.1345885634588	Tumor cells	C3N-00317-T1
CA9	SCT.CPT0012280004_Tumor.cells	0.382147838214791	CPT0012280004_Tumor.cells	CPT0012280004	Tumor.cells	0.382147838214791	Tumor cells	C3N-00317-T1
PCSK6	SCT.CPT0012280004_Tumor.cells	0.507438400743846	CPT0012280004_Tumor.cells	CPT0012280004	Tumor.cells	0.507438400743846	Tumor cells	C3N-00317-T1
CP	SCT.CPT0012280004_Macrophages	0.2826899128269	CPT0012280004_Macrophages	CPT0012280004	Macrophages	0.2826899128269	Macrophages	C3N-00317-T1
