avg_log2FC.snATAC	avg_log2FC.snRNA	highlight	Gene
0.303776456810108	-0.029743912032332	FALSE	BIN1
1.64195224178997	0.537076170979753	FALSE	BMP1
0.231172477131631	-0.270454929553159	FALSE	BMT2
0.249318940631614	-0.167176338668922	FALSE	BTBD1
0.3949505533269	-0.0715368376461674	FALSE	BTBD3
-0.52749254935957	-0.193741239312977	FALSE	C10orf67
0.285193310681852	-0.0333971932386199	FALSE	C12orf76
-0.256225993268314	-0.14126068220405	FALSE	C16orf87
0.231344301698377	-0.338093334483334	FALSE	C1GALT1
0.231714377785007	-0.135798510600106	FALSE	C1orf43
0.675685880676802	0.71977125904123	FALSE	C1S
0.349392485726532	-0.235986115094343	FALSE	C2CD5
0.509217828861992	-0.0242031656833857	FALSE	C7orf50
0.290847744179143	-0.0242031656833857	FALSE	C7orf50
0.411930083149596	-0.0242031656833857	FALSE	C7orf50
