x_plot	y_plot	text_gene	color_plot
0.16767249688347	0.5011466587267	NA	FDR>=0.05
0.0378299306624285	0.482084474602706	NA	FDR>=0.05
-0.0235601388135884	0.480731871012153	NA	FDR>=0.05
0.213731274940858	0.465538926123775	NA	FDR>=0.05
0.149139968697743	0.465270002055102	NA	FDR>=0.05
0.129371775808509	0.453942232969288	NA	FDR>=0.05
0.183019066901047	0.427759416696605	NA	FDR>=0.05
0.00256228035077591	0.411733977658957	NA	FDR>=0.05
0.00499604550242891	0.402920553053123	NA	FDR>=0.05
0.185062335939576	0.402465959778486	NA	FDR>=0.05
0.0184683000970464	0.389642354533516	NA	FDR>=0.05
0.0111594568601164	0.386854301032541	NA	FDR>=0.05
0.00717682411392892	0.380230484395368	NA	FDR>=0.05
0.0414805131821063	0.368063427498476	NA	FDR>=0.05
