UMAP_1	UMAP_2	cnv_cat_simple	Text_TumorCluster
-3.8721157116226	1.30524777276795	neutral	C1
3.11675282294237	-2.88602454559524	neutral	C2
-0.809746365003948	-2.02862704889495	neutral	C3
1.44255604321444	-3.34985445038993	neutral	C2
-2.44318352168119	1.98907326562684	neutral	C1
-0.497604946546916	-1.85482860700805	neutral	C3
-2.64562616770781	-0.63897110120971	neutral	C1
1.85484637791597	-2.4120949615689	neutral	C2
-3.13176689570463	0.0190343747882147	neutral	C1
-3.29776726191557	2.44713496072571	neutral	C1
-1.50924120371855	1.56110190255921	neutral	C1
2.61312903935396	2.78217600686829	neutral	C1
-1.19188080256498	-2.27351499693115	neutral	C3
1.47006191784823	-0.145914803907464	neutral	C2
1.92395820195162	-1.70166684286315	neutral	C2
2.58492042595827	0.35771178109925	neutral	C2
