avg_log2FC.snATAC	avg_log2FC.snRNA	peak2gene_type	Gene	highlight
-0.318294428915724	-0.60144681034755	Promoter	MAPT	FALSE
-0.427993875163834	-0.243894344749336	Promoter	MLLT10	FALSE
-0.713762590441932	-0.935203465655686	Promoter	MTSS1	FALSE
-0.358054035554005	-0.198574077070385	Promoter	MXI1	FALSE
-0.302784385719668	-0.198574077070385	Promoter	MXI1	FALSE
-0.285588296538736	-0.198574077070385	Promoter	MXI1	FALSE
-0.291736295766734	-0.287683137683716	Promoter	NEDD9	FALSE
-0.356761487734635	-0.317438281044096	Promoter	NR6A1	FALSE
-0.219117285093556	-0.222969260052847	Promoter	OSBPL11	FALSE
-0.535237574177741	-0.345912121902633	Promoter	PAQR5	FALSE
-1.10402366790337	-0.803274276991997	Promoter	PDE7A	FALSE
-0.333110598539216	-1.05529994429093	Promoter	PDK4	FALSE
-0.187602165822449	0.232039908674269	Promoter	PDXDC1	FALSE
-0.3677163055824	-0.48613721516473	Promoter	PER3	FALSE
-0.379801718380245	0.186369814060676	Promoter	PFKFB3	FALSE
-0.510765395883486	-0.540126349678745	Promoter	PHYHIPL	FALSE
-0.398352495586165	-0.588344103815604	Promoter	PLEKHH2	FALSE
0.596537943162086	0.219377426585917	Promoter	PTPRF	FALSE
-0.521173465341723	-0.639300235280596	Promoter	PTPRJ	TRUE
0.510543676860071	0.743017465196154	Promoter	RAPGEF5	TRUE
-0.506965582306029	-0.351839941487501	Promoter	RERE	FALSE
-0.189066506371976	0.479316178727261	Promoter	RPS6KA2	FALSE
-0.293314847191773	0.0898927202375677	Promoter	RPS6KA3	FALSE
-0.304871545054508	0.117143630703032	Promoter	RTN4	FALSE
-0.286286050379625	0.117143630703032	Promoter	RTN4	FALSE
-0.354615439074794	-0.531939701429733	Promoter	SCAPER	FALSE
-0.577215330149916	-0.405881675275365	Promoter	SETD3	FALSE
-0.314415676508069	-0.741908333201575	Promoter	SIK3	FALSE
-0.250952521018907	0.285612046437143	Promoter	SINHCAF	FALSE
1.0119789004956	0.355591851939471	Promoter	SIPA1L3	FALSE
-0.297766779082313	-0.774945323064114	Promoter	SLC16A9	FALSE
-0.489103744010614	-0.544586141049416	Promoter	SLC25A37	FALSE
-0.255445014095215	-0.328588104535696	Promoter	SLC35F5	FALSE
-0.444418485873981	-0.597170451215421	Promoter	SLCO3A1	FALSE
